Date,Open,High,Low,Close,Adj Close,Volume
2018-10-30,8.500000,8.670000,8.000000,8.500000,8.500000,806579
2018-10-31,8.670000,8.670000,7.240000,8.000000,8.000000,1053147
2018-11-01,7.590000,8.400000,7.590000,8.250000,8.250000,208540
2018-11-02,8.330000,8.980000,8.000000,8.500000,8.500000,614145
2018-11-05,9.000000,10.000000,8.750000,9.500000,9.500000,819587
2018-11-06,9.430000,9.430000,8.380000,8.500000,8.500000,319810
2018-11-07,8.880000,9.000000,8.380000,8.500000,8.500000,235457
2018-11-08,8.870000,9.000000,8.510000,8.500000,8.500000,331943
2018-11-09,9.380000,10.000000,8.650000,9.250000,9.250000,698456
2018-11-12,8.760000,9.680000,8.610000,9.500000,9.500000,421655
2018-11-13,9.500000,9.900000,9.000000,9.250000,9.250000,965095
2018-11-14,9.300000,9.300000,8.600000,9.000000,9.000000,250690
2018-11-15,8.550000,8.680000,8.210000,8.750000,8.750000,197068
2018-11-16,8.680000,9.500000,9.500000,9.500000,9.500000,229712
2018-11-19,8.000000,8.680000,8.000000,8.500000,8.500000,72258
2018-11-20,8.000000,8.000000,7.600000,8.500000,8.500000,188689
2018-11-21,8.500000,8.500000,8.500000,8.500000,8.500000,0
2018-11-22,8.000000,8.000000,6.800000,7.750000,7.750000,1593294
2018-11-23,7.500000,7.900000,7.170000,7.750000,7.750000,257548
2018-11-26,7.100000,7.500000,7.000000,7.250000,7.250000,257790
2018-11-27,7.000000,7.240000,6.600000,7.250000,7.250000,380722
2018-11-28,7.240000,7.300000,7.000000,7.250000,7.250000,203423
2018-11-29,7.200000,7.240000,7.130000,7.250000,7.250000,75326
2018-11-30,7.240000,7.240000,7.130000,7.250000,7.250000,23706
2018-12-03,7.240000,7.240000,7.000000,7.250000,7.250000,39416
2018-12-04,7.000000,7.000000,6.750000,7.000000,7.000000,27400
2018-12-05,6.500000,6.600000,6.500000,6.750000,6.750000,107192
2018-12-06,7.000000,7.000000,6.500000,6.750000,6.750000,39151
2018-12-07,6.730000,6.880000,6.500000,6.750000,6.750000,137990
2018-12-10,6.740000,6.740000,6.090000,6.250000,6.250000,135283
2018-12-11,6.560000,6.900000,6.280000,6.500000,6.500000,246132
2018-12-12,6.350000,6.900000,5.500000,6.500000,6.500000,1240677
2018-12-13,6.060000,6.750000,6.060000,6.500000,6.500000,51582
2018-12-14,6.180000,7.000000,6.180000,6.500000,6.500000,360323
2018-12-17,6.250000,6.700000,6.000000,6.250000,6.250000,52396
2018-12-18,5.600000,6.400000,5.500000,6.000000,6.000000,412490
2018-12-19,6.080000,6.080000,6.030000,6.250000,6.250000,84722
2018-12-20,6.500000,6.500000,6.000000,6.250000,6.250000,45890
