Date,Open,High,Low,Close,Adj Close,Volume
2018-10-30,1.899000,1.900000,1.822000,1.875000,1.875000,58370713
2018-10-31,1.862000,1.980000,1.826000,1.925000,1.925000,92852003
2018-11-01,1.963000,1.950000,1.950000,1.950000,1.950000,74024927
2018-11-02,1.930000,1.950000,1.950000,1.900000,1.900000,41448001
2018-11-05,1.856000,1.945000,1.945000,1.945000,1.945000,41087793
2018-11-06,1.895000,1.950000,1.870000,1.900000,1.900000,29729529
2018-11-07,1.878000,1.950000,1.862000,1.925000,1.925000,39564379
2018-11-08,1.918000,1.978000,1.915000,1.925000,1.925000,41437817
2018-11-09,1.949000,1.966000,1.860000,1.900000,1.900000,46101336
2018-11-12,1.885000,1.929000,1.851000,1.875000,1.875000,34368292
2018-11-13,1.852000,1.900000,1.900000,1.900000,1.900000,57739021
2018-11-14,1.840000,1.845000,1.800000,1.820000,1.820000,59203601
2018-11-15,1.830000,1.720000,1.690000,1.625000,1.625000,205443205
2018-11-16,1.615000,1.570000,1.570000,1.475000,1.475000,183791056
2018-11-19,1.500000,1.777000,1.486000,1.700000,1.700000,124813761
2018-11-20,1.725000,1.750000,1.700000,1.700000,1.700000,87755799
2018-11-21,1.652000,1.730000,1.730000,1.675000,1.675000,48384128
2018-11-22,1.699000,1.748000,1.665000,1.700000,1.700000,49204609
2018-11-23,1.699000,1.800000,1.619000,1.650000,1.650000,51133734
2018-11-26,1.678000,1.600000,1.590000,1.590000,1.590000,61309053
2018-11-27,1.583000,1.583000,1.479000,1.550000,1.550000,68553270
2018-11-28,1.516000,1.550000,1.550000,1.525000,1.525000,36715315
2018-11-29,1.520000,1.520000,1.520000,1.500000,1.500000,28207584
2018-11-30,1.485000,1.509000,1.422000,1.450000,1.450000,23714159
2018-12-03,1.495000,1.534000,1.450000,1.475000,1.475000,25238360
2018-12-04,1.499000,1.550000,1.450000,1.475000,1.475000,22689043
2018-12-05,1.480000,1.499000,1.428000,1.475000,1.475000,32381085
2018-12-06,1.455000,1.488000,1.400000,1.425000,1.425000,36062397
2018-12-07,1.449000,1.430000,1.430000,1.450000,1.450000,41289448
2018-12-10,1.425000,1.400000,1.400000,1.400000,1.400000,27547584
2018-12-11,1.399000,1.450000,1.360000,1.400000,1.400000,41683545
2018-12-12,1.380000,1.446000,1.366000,1.375000,1.375000,45978351
2018-12-13,1.370000,1.300000,1.300000,1.325000,1.325000,62700656
2018-12-14,1.337000,1.269000,1.269000,1.325000,1.325000,68564167
2018-12-17,1.311000,1.344000,1.251000,1.275000,1.275000,29931829
2018-12-18,1.265000,1.250000,1.250000,1.250000,1.250000,60661868
2018-12-19,1.215000,1.400000,1.125000,1.400000,1.400000,117011693
2018-12-20,1.415000,1.435000,1.250000,1.350000,1.350000,40663982
2018-12-21,1.330000,1.349000,1.301000,1.325000,1.325000,15848588
2018-12-24,1.313000,1.350000,1.295000,1.325000,1.325000,15387956
2018-12-27,1.319000,1.350000,1.266000,1.300000,1.300000,15955700
2018-12-28,1.313000,1.350000,1.280000,1.325000,1.325000,22779513
2018-12-31,1.350000,1.440000,1.440000,1.425000,1.425000,37506502
2019-01-02,1.467000,1.467000,1.376000,1.425000,1.425000,43542309
2019-01-03,1.425000,1.400000,1.400000,1.400000,1.400000,28431529
2019-01-04,1.410000,1.370000,1.370000,1.400000,1.400000,40294565
2019-01-07,1.409000,1.420000,1.300000,1.325000,1.325000,45684630
2019-01-08,1.349000,1.400000,1.325000,1.325000,1.325000,25480456
2019-01-09,1.349000,1.300000,1.300000,1.300000,1.300000,58776864
2019-01-10,1.299000,1.250000,1.250000,1.250000,1.250000,78901478
2019-01-11,1.230000,1.300000,1.229000,1.275000,1.275000,38906270
2019-01-14,1.220000,1.300000,1.300000,1.225000,1.225000,41622488
2019-01-15,1.207000,1.200000,1.200000,1.200000,1.200000,47349935
2019-01-16,1.300000,1.180000,1.180000,1.175000,1.175000,143494846
2019-01-17,1.163000,1.150000,1.150000,1.125000,1.125000,71420857
2019-01-18,1.150000,1.250000,1.088000,1.175000,1.175000,76366940
2019-01-21,1.139000,1.300000,1.100000,1.225000,1.225000,48732992
2019-01-22,1.225000,1.260000,1.175000,1.175000,1.175000,30053255
2019-01-23,1.197000,1.333000,1.175000,1.225000,1.225000,98780519
2019-01-24,1.243000,1.298000,1.225000,1.250000,1.250000,56843467
2019-01-25,1.240000,1.300000,1.201000,1.225000,1.225000,24980474
2019-01-28,1.206000,1.249000,1.175000,1.200000,1.200000,25649583
2019-01-29,1.198000,1.218000,1.160000,1.175000,1.175000,31885387
2019-01-30,1.173000,1.156000,1.156000,1.175000,1.175000,34036067
2019-01-31,1.190000,1.250000,1.250000,1.225000,1.225000,33259886
2019-02-01,1.250000,1.290000,1.204000,1.275000,1.275000,42377689
2019-02-04,1.236000,1.300000,1.230000,1.230000,1.230000,64264997
2019-02-05,1.290000,1.303000,1.225000,1.275000,1.275000,31514956
2019-02-06,1.271000,1.300000,1.300000,1.300000,1.300000,57368426
2019-02-07,1.303000,1.393000,1.390000,1.390000,1.390000,152936761
2019-02-08,1.399000,1.680000,1.580000,1.680000,1.680000,262068766
2019-02-11,1.777000,1.845000,1.800000,1.775000,1.775000,271892883
2019-02-12,1.770000,1.660000,1.550000,1.600000,1.600000,127801001
2019-02-13,1.555000,1.569000,1.569000,1.500000,1.500000,80842830
