Date,Open,High,Low,Close,Adj Close,Volume
2021-11-29,15.750000,16.145000,15.252000,15.730000,14.612749,4485800
2021-11-30,15.480000,16.000000,15.305000,15.500000,14.399085,4563400
2021-12-01,15.570000,16.290001,15.260000,15.320000,14.231870,4704700
2021-12-02,15.340000,16.024000,15.280000,15.890000,14.761385,3685500
2021-12-03,15.890000,15.900000,15.440000,15.700000,14.584880,3085400
2021-12-06,15.600000,16.219999,15.215000,15.890000,14.761385,4575000
2021-12-07,16.120001,16.600000,16.059999,16.309999,15.151553,3997300
2021-12-08,16.410000,16.650000,16.120001,16.379999,15.216581,2412200
2021-12-09,16.309999,16.520000,16.125000,16.309999,15.151553,3149300
2021-12-10,16.290001,16.440001,16.110001,16.160000,15.012208,3500000
2021-12-13,16.100000,16.200001,15.695000,15.900000,14.770675,3761500
2021-12-14,15.860000,16.455000,15.750000,15.920000,14.789254,3851400
2021-12-15,16.000000,16.014000,15.160000,15.620000,14.510562,4530500
2021-12-16,15.490000,16.030001,15.340000,15.580000,14.473403,3829000
2021-12-17,15.580000,15.705000,15.020000,15.430000,14.334058,5736300
2021-12-20,15.240000,15.280000,14.071000,14.460000,13.432953,9424300
2021-12-21,14.460000,14.975000,14.315000,14.820000,13.767384,4327800
2021-12-22,14.760000,15.210000,14.760000,15.120000,14.046076,3309300
2021-12-23,15.090000,15.380000,15.030000,15.270000,14.185422,2491700
2021-12-27,15.300000,15.300000,15.020000,15.080000,14.008917,2847200
2021-12-28,14.990000,15.110000,14.710000,14.710000,13.665196,3273700
2021-12-29,14.660000,14.677000,14.260000,14.290000,13.275028,4172800
2021-12-30,14.290000,14.930000,14.280000,14.690000,13.646617,5764900
2021-12-31,14.625000,14.910000,13.840000,14.000000,13.005626,9744100
2022-01-03,14.210000,14.910000,14.190000,14.730000,13.683776,4982300
2022-01-04,14.660000,15.264000,14.610000,14.980000,13.916019,5537800
2022-01-05,14.970000,14.980000,14.165000,14.180000,13.172841,4027000
2022-01-06,14.250000,14.579000,13.900000,14.010000,13.014915,4648300
2022-01-07,14.340000,14.415000,13.990000,14.160000,13.154262,4282300
2022-01-10,14.110000,14.278000,13.690000,13.990000,12.996336,5244800
