Date,Open,High,Low,Close,Adj Close,Volume
2020-10-15,266821.625000,346868.093750,250515.859375,254962.875000,254962.875000,6635321
2020-10-16,250021.734375,250021.734375,196657.421875,198139.765625,198139.765625,4558051
2020-10-19,196163.296875,200116.218750,184798.671875,186775.140625,186775.140625,2001557
2020-10-20,187763.359375,191222.156250,173928.171875,180351.656250,180351.656250,1833195
2020-10-21,178375.187500,183316.328125,174916.390625,176892.859375,176892.859375,1678400
2020-10-22,174422.281250,182822.218750,173434.046875,177881.078125,177881.078125,1208216
2020-10-23,180845.765625,181834.000000,169481.140625,170469.375000,170469.375000,916333
2020-10-26,170963.484375,171457.593750,154163.609375,154163.609375,154163.609375,999719
2020-10-27,152681.265625,164045.890625,150704.796875,160587.093750,160587.093750,1131810
2020-10-28,159598.859375,161575.312500,155645.953125,156634.171875,156634.171875,588118
2020-10-29,153669.484375,159598.859375,152681.265625,155151.828125,155151.828125,524421
2020-10-30,147246.000000,149716.578125,140328.406250,140328.406250,140328.406250,1155917
2020-11-02,140822.515625,144775.437500,139340.187500,141810.750000,141810.750000,417799
2020-11-03,142798.984375,150210.687500,142798.984375,150210.687500,150210.687500,697647
2020-11-04,151693.031250,151693.031250,145269.546875,147246.000000,147246.000000,333701
2020-11-05,148728.343750,170963.484375,148234.234375,162069.421875,162069.421875,1584351
2020-11-06,162563.546875,164045.890625,157622.406250,160092.968750,160092.968750,418026
2020-11-09,162069.421875,167504.687500,159104.750000,161081.203125,161081.203125,434338
2020-11-10,166516.453125,169481.140625,164540.000000,166022.343750,166022.343750,497033
2020-11-11,168492.906250,169975.250000,161081.203125,162069.421875,162069.421875,299524
2020-11-12,162069.421875,162069.421875,154163.609375,155645.953125,155645.953125,330154
2020-11-13,154657.718750,160587.093750,154163.609375,158116.515625,158116.515625,227280
2020-11-16,153669.484375,169975.250000,152681.265625,169481.140625,169481.140625,1175970
2020-11-17,167010.562500,180845.765625,163551.765625,177386.968750,177386.968750,936205
2020-11-18,179363.421875,183316.328125,175904.625000,179363.421875,179363.421875,423969
2020-11-19,179363.421875,180351.656250,173928.171875,177881.078125,177881.078125,291041
2020-11-20,179857.531250,190728.046875,175904.625000,182328.109375,182328.109375,831983
2020-11-23,182822.218750,183810.453125,175904.625000,177881.078125,177881.078125,409238
2020-11-24,178869.312500,179363.421875,171951.718750,178869.312500,178869.312500,392240
2020-11-25,181339.875000,182328.109375,170469.375000,171951.718750,171951.718750,446305
2020-11-26,174916.390625,179363.421875,172939.937500,173928.171875,173928.171875,347756
2020-11-27,175904.625000,176398.734375,172939.937500,175904.625000,175904.625000,129879
2020-11-30,175904.625000,178869.312500,174422.281250,177386.968750,177386.968750,179822
2020-12-01,180351.656250,182822.218750,177386.968750,178869.312500,178869.312500,332084
2020-12-02,180845.765625,180845.765625,177881.078125,179857.531250,179857.531250,198074
2020-12-03,181339.875000,188257.484375,179857.531250,187269.250000,187269.250000,674295
2020-12-04,186775.140625,187269.250000,182822.218750,185292.796875,185292.796875,261421
2020-12-07,186281.015625,186281.015625,177881.078125,178375.187500,178375.187500,257398
2020-12-08,177881.078125,181339.875000,174916.390625,179857.531250,179857.531250,205795
2020-12-09,180845.765625,180845.765625,177881.078125,177881.078125,177881.078125,158740
2020-12-10,176892.859375,179363.421875,174916.390625,179363.421875,179363.421875,393161
2020-12-11,179857.531250,179857.531250,176892.859375,178375.187500,178375.187500,145660
2020-12-14,177386.968750,177386.968750,172939.937500,173434.046875,173434.046875,200016
2020-12-15,173434.046875,173434.046875,168492.906250,169975.250000,169975.250000,154017
2020-12-16,170963.484375,171951.718750,168987.031250,170963.484375,170963.484375,98165
2020-12-17,167010.562500,167010.562500,158610.625000,159598.859375,159598.859375,1136342
2020-12-18,160587.093750,162069.421875,158610.625000,160092.968750,160092.968750,164164
2020-12-21,160092.968750,160092.968750,155151.828125,156634.171875,156634.171875,163207
2020-12-22,155645.953125,156634.171875,152187.140625,152681.265625,152681.265625,168143
2020-12-23,152681.265625,156140.062500,150704.796875,151198.921875,151198.921875,151565
2020-12-24,151198.921875,156634.171875,149716.578125,156140.062500,156140.062500,134191
2020-12-28,156634.171875,157128.281250,153175.375000,154657.718750,154657.718750,116908
2020-12-29,154657.718750,158610.625000,153175.375000,156634.171875,156634.171875,111993
2020-12-30,156634.171875,159104.750000,155645.953125,158116.515625,158116.515625,118894
2021-01-04,158116.515625,158610.625000,154163.609375,156140.062500,156140.062500,154747
2021-01-05,155151.828125,157128.281250,153669.484375,156634.171875,156634.171875,170974
2021-01-06,158116.515625,159104.750000,155645.953125,156634.171875,156634.171875,149959
2021-01-07,156634.171875,157622.406250,155151.828125,155151.828125,155151.828125,141526
2021-01-08,156140.062500,160092.968750,153175.375000,158610.625000,158610.625000,288730
2021-01-11,160092.968750,160587.093750,152187.140625,152681.265625,152681.265625,256956
2021-01-12,152681.265625,155151.828125,148234.234375,151693.031250,151693.031250,204916
2021-01-13,151693.031250,177881.078125,151198.921875,166516.453125,166516.453125,2104030
